carat,cut,color,clarity,depth,table,price,x,y,z
1.02,Ideal,E,SI2,61.6,55,4824,6.46,6.52,4
0.81,Ideal,E,SI2,62.1,57,3050,5.97,5.91,3.69
0.71,Ideal,E,SI2,61.7,57,2370,5.72,5.76,3.54
0.34,Ideal,E,SI2,62.4,57,612,4.5,4.47,2.8
1.03,Ideal,E,SI2,62.5,56,4522,6.48,6.45,4.04
0.46,Ideal,F,SI2,62.1,54.7,851,4.95,4.98,3.08
1.02,Ideal,F,SI2,62.9,58,5115,6.34,6.42,4.01
0.94,Ideal,F,SI2,60.6,54,5159,6.39,6.34,3.86
1.04,Ideal,F,SI2,61.8,56,4630,6.53,6.49,4.02
0.53,Ideal,F,SI2,62.2,53,1078,5.19,5.22,3.24
0.46,Ideal,F,SI2,61.5,54,758,4.98,5.01,3.07
1.03,Ideal,F,SI2,62.6,57,3461,6.44,6.4,4.02
0.8,Ideal,F,SI2,61.8,56,2564,5.97,6,3.7
0.7,Ideal,F,SI2,61.4,55,2421,5.73,5.77,3.53
0.8,Ideal,F,SI2,59.9,59,2762,6.01,6.07,3.62
0.46,Ideal,F,SI2,61.4,56,881,4.97,5,3.06
1.14,Ideal,F,SI2,61.7,56,4591,6.71,6.67,4.13
0.55,Ideal,F,SI2,61.2,56,1175,5.23,5.29,3.22
0.42,Ideal,F,SI2,62.1,56,663,4.8,4.83,2.99
2.03,Ideal,F,SI2,61.4,58,18535,8.12,8.16,5
1.07,Ideal,F,SI2,61.6,57,5405,6.56,6.53,4.03
0.73,Ideal,F,SI2,62.1,56,2712,5.8,5.76,3.59
1.02,Ideal,F,SI2,62.1,56,4162,6.41,6.44,3.99
0.54,Ideal,F,SI2,61.2,56,1162,5.27,5.28,3.23
0.58,Ideal,F,SI2,60.9,57,1209,5.4,5.44,3.3
1.6,Ideal,F,SI2,61.7,56,10472,7.5,7.53,4.64
0.54,Ideal,F,SI2,60.8,56,1235,5.26,5.34,3.22
1.13,Ideal,F,SI2,60.4,56,4449,6.78,6.72,4.08
1.09,Ideal,G,SI2,61.2,57,4670,6.68,6.63,4.07
1.08,Ideal,G,SI2,61.9,57,4544,6.55,6.57,4.06
1.12,Ideal,G,SI2,62.1,57,4222,6.71,6.65,4.14
0.73,Ideal,G,SI2,61.8,56,2585,5.76,5.83,3.58
0.7,Ideal,G,SI2,61.8,56,1966,5.66,5.6,3.48
0.31,Ideal,G,SI2,61.4,55,558,4.39,4.37,2.69
0.55,Ideal,G,SI2,61.8,55,1228,5.27,5.32,3.27
0.51,Ideal,G,SI2,62.1,56,1148,5.1,5.13,3.18
0.78,Ideal,G,SI2,61.7,54,2485,5.93,5.97,3.67
1.5,Ideal,G,SI2,63,57,6720,7.31,7.2,4.57
0.58,Ideal,G,SI2,62,57,1134,5.35,5.29,3.3
0.9,Ideal,G,SI2,62.7,55,3428,6.11,6.17,3.85
1.01,Ideal,G,SI2,63.2,57,4038,6.33,6.28,3.99
1.3,Ideal,G,SI2,61.9,57,5169,7.01,6.95,4.32
2.32,Ideal,G,SI2,61,58,18532,8.5,8.54,5.2
0.33,Ideal,G,SI2,61.7,55,463,4.46,4.48,2.76
0.38,Ideal,G,SI2,61.6,55,602,4.64,4.68,2.87
1.12,Ideal,G,SI2,62.2,55,4955,6.68,6.64,4.14
0.41,Ideal,G,SI2,61.3,56,605,4.78,4.81,2.94
0.55,Ideal,G,SI2,62.1,56,1173,5.25,5.28,3.27
0.96,Ideal,G,SI2,62,58,3945,6.3,6.34,3.92
1.25,Ideal,G,SI2,61.6,57,5355,6.98,6.91,4.28
0.3,Ideal,G,SI2,62.5,56,382,4.28,4.3,2.68
1.06,Ideal,G,SI2,61,56,3321,6.62,6.56,4.02
0.51,Ideal,H,SI2,61.7,55,1435,5.13,5.15,3.17
1.03,Ideal,H,SI2,61.1,57,4384,6.55,6.52,3.99
1.17,Ideal,H,SI2,62.3,57,5111,6.78,6.74,4.21
1.13,Ideal,H,SI2,62.1,55,4932,6.65,6.68,4.14
2.3,Ideal,H,SI2,62.6,57,14215,8.4,8.35,5.25
0.4,Ideal,H,SI2,61.6,56,516,4.73,4.75,2.92
0.55,Ideal,H,SI2,62.2,54,1057,5.28,5.3,3.29
1.54,Ideal,H,SI2,60.9,56,9624,7.45,7.43,4.53
2.02,Ideal,H,SI2,62.1,56,12485,8.13,8.09,5.04
2.3,Ideal,H,SI2,62.6,54,18108,8.42,8.46,5.28
1.31,Ideal,H,SI2,62.3,56,6225,7,6.97,4.35
2.06,Ideal,H,SI2,61.5,56,12119,8.23,8.18,5.04
1.53,Ideal,H,SI2,62.5,57,7617,7.36,7.39,4.61
1.41,Ideal,H,SI2,62.7,56,7324,7.11,7.17,4.48
1.01,Ideal,H,SI2,62.8,56,4119,6.38,6.45,4.03
1.04,Ideal,H,SI2,61.7,57,4543,6.54,6.49,4.02
2.1,Ideal,H,SI2,63,57,16629,8.13,8.08,5.11
1.08,Ideal,H,SI2,62,57,3629,6.65,6.55,4.06
1.62,Ideal,H,SI2,61.8,54,8865,7.55,7.6,4.68
1.09,Ideal,H,SI2,60,59,4383,6.72,6.77,4.05
0.32,Ideal,H,SI2,61.5,56,420,4.43,4.45,2.73
1.12,Ideal,H,SI2,63.6,56,5331,6.68,6.54,4.19
1.28,Ideal,I,SI2,61.7,59,5419,6.96,6.92,4.28
0.58,Ideal,I,SI2,61.3,56,1158,5.38,5.45,3.32
1.16,Ideal,I,SI2,62.8,57,3605,6.8,6.64,4.22
1.2,Ideal,I,SI2,62.5,56,3931,6.8,6.7,4.22
1,Ideal,I,SI2,61.7,56,2873,6.45,6.41,3.97
1.13,Ideal,I,SI2,61.7,57,4307,6.59,6.7,4.13
2.06,Ideal,I,SI2,62.4,55,14120,8.1,8.14,5.07
1.22,Ideal,I,SI2,60.7,57,4714,6.92,6.88,4.19
1.53,Ideal,I,SI2,62.4,58,7678,7.31,7.37,4.58
2.41,Ideal,I,SI2,62.5,57,16987,8.57,8.51,5.34
1.23,Ideal,I,SI2,62.1,56,5269,6.88,6.84,4.26
1.52,Ideal,I,SI2,60.2,57,7661,7.47,7.38,4.47
1.31,Ideal,I,SI2,63.6,55,5546,6.98,6.92,4.42
1.02,Ideal,I,SI2,62.8,58,4189,6.37,6.41,4.01
1.2,Ideal,J,SI2,62.5,57,4516,6.8,6.74,4.23
1.22,Ideal,J,SI2,61.2,57,4676,6.86,6.9,4.21
1.24,Ideal,J,SI2,61.6,57,4666,6.89,6.87,4.24
1.2,Ideal,J,SI2,61.7,56,4744,6.87,6.79,4.21
0.7,Ideal,J,SI2,61.6,57,1826,5.68,5.65,3.49
1.26,Ideal,J,SI2,62.5,53,4742,6.9,6.86,4.3
0.91,Fair,D,SI1,65.2,57,3730,6.08,6.04,3.95
0.9,Fair,D,SI1,65.7,65,3751,6.06,5.94,3.94
1.01,Fair,D,SI1,65.9,60,4276,6.32,6.18,4.12
1.51,Fair,E,SI1,67.2,53,7468,7.15,7.1,4.79
0.71,Fair,E,SI1,64.7,59,2352,5.61,5.58,3.62
0.47,Fair,E,SI1,67.9,56,829,4.84,4.65,3.24
1,Fair,F,SI1,64.8,59,5292,6.29,6.24,4.06
1.04,Fair,F,SI1,66.9,62,4403,6.22,6.15,4.14
0.75,Fair,F,SI1,64.6,57,2700,5.7,5.67,3.67
0.45,Fair,F,SI1,57.9,66,794,5.08,4.98,2.91
0.5,Fair,G,SI1,67.1,59,1103,4.96,4.84,3.29
0.7,Fair,G,SI1,66,53,1949,5.53,5.47,3.63
0.82,Fair,G,SI1,66.4,54,2339,5.87,5.82,3.88
1.21,Fair,H,SI1,69.6,55,3862,6.49,6.42,4.49
1.51,Fair,H,SI1,66.5,56,8010,7.03,6.99,4.66
0.91,Fair,H,SI1,65.3,62,3278,6.11,6.01,3.96
0.7,Fair,H,SI1,64.5,59,2176,5.54,5.51,3.56
1,Fair,I,SI1,66,56,2912,6.31,6.24,4.13
1.32,Fair,I,SI1,64.8,58,6061,6.9,6.83,4.45
1.65,Fair,J,SI1,61.6,66,5914,7.61,7.47,4.66
0.9,Good,D,SI1,63.2,62,4068,6.06,6.13,3.85
1.08,Good,D,SI1,63.8,59,5927,6.47,6.39,4.1
1,Good,D,SI1,60.4,64,5096,6.39,6.3,3.83
0.35,Good,D,SI1,63.3,57,644,4.51,4.53,2.86
0.7,Good,D,SI1,58,60,2525,5.79,5.93,3.4
0.32,Good,D,SI1,63.7,55,589,4.35,4.38,2.78
0.32,Good,D,SI1,63.3,57,589,4.37,4.38,2.77
0.9,Good,D,SI1,62,62,4187,6.06,6.1,3.77
1,Good,D,SI1,60.4,64,5005,6.3,6.39,3.83
1,Good,D,SI1,64.1,56,6328,6.28,6.24,4.01
1,Good,D,SI1,64.3,62,4312,6.18,6.13,3.96
1.03,Good,D,SI1,64.3,58,4441,6.31,6.28,4.05
1.01,Good,E,SI1,63.7,58,5132,6.32,6.36,4.04
0.38,Good,E,SI1,62.8,61,641,4.6,4.67,2.91
0.43,Good,E,SI1,63.4,57,739,4.81,4.84,3.06
0.71,Good,E,SI1,61.5,61,2573,5.64,5.67,3.48
0.43,Good,E,SI1,60.6,61,723,4.96,4.98,3.01
0.4,Good,E,SI1,63.5,58,687,4.65,4.67,2.96
1.6,Good,E,SI1,63.6,58,12467,7.38,7.44,4.71
0.4,Good,E,SI1,63.6,57,687,4.65,4.69,2.97
0.71,Good,E,SI1,58.4,61,2573,5.85,5.93,3.44
1,Good,E,SI1,57.5,62,5051,6.5,6.58,3.76
0.71,Good,E,SI1,62.8,64,2817,5.6,5.54,3.5
0.4,Good,E,SI1,64.2,56,882,4.69,4.66,3
0.4,Good,E,SI1,63.7,57,687,4.66,4.69,2.98
0.71,Good,E,SI1,63.2,57,2494,5.67,5.72,3.6
0.9,Good,E,SI1,59.8,64,4229,6.14,6.21,3.69
0.5,Good,E,SI1,64.2,59,1155,5.03,4.97,3.21
1,Good,E,SI1,63.7,60,5082,6.24,6.29,3.99
1.53,Good,E,SI1,63.5,58,11303,7.29,7.35,4.65
0.97,Good,F,SI1,60.1,65,4900,6.46,6.36,3.85
1.01,Good,F,SI1,63.7,57,4899,6.35,6.4,4.06
0.51,Good,F,SI1,64,57,1274,5.06,5.01,3.22
1.01,Good,F,SI1,65.5,58,4369,6.11,6.25,4.05
0.4,Good,F,SI1,63.1,58,687,4.66,4.69,2.95
1.01,Good,F,SI1,64.2,58,4339,6.24,6.29,4.02
0.76,Good,F,SI1,57.9,56,2706,6.08,6,3.5
1.02,Good,F,SI1,64.3,58,4936,6.28,6.32,4.05
0.9,Good,F,SI1,62.8,64,3659,6.18,5.99,3.82
1.01,Good,F,SI1,63.6,58,4899,6.31,6.37,4.03
1.02,Good,F,SI1,63.2,59,5301,6.35,6.38,4.02
0.7,Good,F,SI1,63.8,60,2401,5.6,5.63,3.58
1,Good,F,SI1,63.8,57,4844,6.21,6.29,3.99
0.7,Good,F,SI1,57.2,63,2401,5.84,5.87,3.35
1.01,Good,G,SI1,64.2,56,4138,6.38,6.26,4.05
1.5,Good,G,SI1,59.7,65,9954,7.46,7.34,4.42
0.5,Good,G,SI1,63.6,55,1286,5.06,5.03,3.21
0.9,Good,G,SI1,63.8,61,3774,6.09,6.05,3.87
1.07,Good,G,SI1,63.1,59,4861,6.45,6.49,4.08
0.43,Good,G,SI1,63.6,55,903,4.83,4.79,3.06
0.54,Good,G,SI1,63.2,56,1292,5.16,5.19,3.27
2.01,Good,G,SI1,60.1,61,18374,8.04,8.12,4.86
0.52,Good,G,SI1,63.6,56,1338,5.09,5.07,3.23
1.01,Good,G,SI1,63.7,60,5113,6.32,6.28,4.01
0.7,Good,H,SI1,64.2,58,1865,5.62,5.59,3.6
1.01,Good,H,SI1,60.5,56,4475,6.43,6.49,3.91
1,Good,H,SI1,62.7,60,4389,6.24,6.3,3.93
2,Good,H,SI1,63.6,58,16650,7.96,7.87,5.03
0.71,Good,H,SI1,63.4,54,2056,5.6,5.67,3.57
0.42,Good,H,SI1,63.6,57,838,4.79,4.74,3.03
0.37,Good,H,SI1,63.2,57,533,4.54,4.58,2.88
1.21,Good,H,SI1,58.2,58,6022,6.98,7.01,4.07
1.01,Good,H,SI1,62.9,57,4496,6.27,6.36,3.97
1.01,Good,H,SI1,63.7,60,4836,6.35,6.3,4.03
1.7,Good,H,SI1,63.9,56,11869,7.61,7.53,4.84
1.05,Good,H,SI1,59.2,60,4845,6.59,6.62,3.91
2.01,Good,I,SI1,64.1,60,10184,7.92,7.88,5.06
0.3,Good,I,SI1,64.1,57,391,4.25,4.3,2.74
0.31,Good,I,SI1,63.8,55,523,4.34,4.31,2.76
0.4,Good,I,SI1,63.2,54,596,4.67,4.69,2.96
0.52,Good,I,SI1,63.6,60,1073,5.1,5.05,3.23
0.38,Good,I,SI1,63.7,57,659,4.63,4.57,2.93
1.51,Good,I,SI1,62.5,57,8242,7.25,7.32,4.55
0.33,Good,I,SI1,63.6,57,572,4.42,4.39,2.8
0.82,Good,J,SI1,57.4,59,2140,6.25,6.19,3.57
1.73,Good,J,SI1,63.8,60,7847,7.57,7.5,4.8
1,Good,J,SI1,63.9,60,3679,6.26,6.19,3.98
1.5,Good,J,SI1,64,56,5914,7.21,7.16,4.6
0.56,Very Good,D,SI1,59.9,60,1723,5.33,5.39,3.21
0.49,Very Good,D,SI1,58.6,60,1174,5.14,5.2,3.03
0.75,Very Good,D,SI1,60.7,55,2872,5.87,5.92,3.58
0.84,Very Good,D,SI1,62.9,58,3816,5.93,6.02,3.76
0.42,Very Good,D,SI1,60.8,59,810,4.82,4.85,2.94
0.51,Very Good,D,SI1,59.4,59,1420,5.18,5.22,3.09
1.5,Very Good,D,SI1,63.1,57,11863,7.31,7.24,4.59
0.51,Very Good,D,SI1,62.2,58,1398,5.08,5.11,3.17
0.37,Very Good,D,SI1,61,62,681,4.61,4.64,2.82
0.64,Very Good,D,SI1,62.2,55,1967,5.51,5.55,3.44
0.3,Very Good,D,SI1,63.4,55,662,4.26,4.22,2.69
0.91,Very Good,D,SI1,60.8,60,4561,6.24,6.21,3.79
0.9,Very Good,D,SI1,64.2,55,4523,6.09,6.16,3.93
1.01,Very Good,D,SI1,61.5,61,5542,6.37,6.47,3.95
0.9,Very Good,D,SI1,61.7,60,4466,6.14,6.17,3.8
0.91,Very Good,D,SI1,59.3,58,4253,6.33,6.38,3.77
0.3,Very Good,D,SI1,61,60,552,4.3,4.35,2.64
0.42,Very Good,D,SI1,60.2,58,723,4.85,4.89,2.93
0.33,Very Good,D,SI1,60,59,608,4.47,4.5,2.69
0.9,Very Good,D,SI1,61.5,58,4381,6.15,6.21,3.8
0.5,Very Good,D,SI1,62.5,58,1231,5.06,4.98,3.14
1,Very Good,D,SI1,63.2,60,5851,6.31,6.35,4
0.31,Very Good,D,SI1,63.4,58,732,4.35,4.32,2.75
0.75,Very Good,D,SI1,63.9,56,3085,5.73,5.75,3.67
1.01,Very Good,D,SI1,59.8,56,5394,6.57,6.6,3.94
0.41,Very Good,E,SI1,63.2,58,904,4.72,4.68,2.97
0.3,Very Good,E,SI1,63.1,53,675,4.32,4.27,2.71
0.51,Very Good,E,SI1,62.8,55,1438,5.07,5.12,3.2
0.43,Very Good,E,SI1,63.4,56,921,4.79,4.77,3.03
0.72,Very Good,E,SI1,63.3,56,3183,5.67,5.71,3.6
1.02,Very Good,E,SI1,62.7,60,6397,6.45,6.4,4.03
0.9,Very Good,E,SI1,62,62,4144,6.11,6.21,3.82
0.75,Very Good,E,SI1,63.4,57,2698,5.77,5.75,3.65
0.39,Very Good,E,SI1,59.1,59,670,4.76,4.81,2.83
1.5,Very Good,E,SI1,59.4,59,11325,7.42,7.49,4.43
0.7,Very Good,E,SI1,62.5,59,2617,5.66,5.7,3.55
0.41,Very Good,E,SI1,63.1,57,878,4.73,4.71,2.98
1.24,Very Good,E,SI1,61.7,59,8073,6.85,6.89,4.24
1,Very Good,E,SI1,63.1,58,4435,6.34,6.2,3.95
0.63,Very Good,E,SI1,61,57.6,1952,5.48,5.51,3.36
0.5,Very Good,E,SI1,61.9,53,1331,5.14,5.16,3.19
0.82,Very Good,E,SI1,63.2,57,2741,5.92,5.97,3.76
1.21,Very Good,E,SI1,62.9,58,6324,6.78,6.79,4.27
0.7,Very Good,E,SI1,63,55,2537,5.61,5.66,3.55
1.06,Very Good,E,SI1,59.6,57,5328,6.62,6.67,3.96
0.33,Very Good,E,SI1,62.7,56,579,4.39,4.45,2.77
0.71,Very Good,E,SI1,63.2,57,2516,5.72,5.67,3.6
0.72,Very Good,E,SI1,63,56,2642,5.73,5.76,3.62
0.3,Very Good,E,SI1,61.9,58,526,4.27,4.33,2.66
0.9,Very Good,E,SI1,62.3,61,3868,6.12,6.17,3.83
0.54,Very Good,E,SI1,62.1,59,1379,5.17,5.2,3.22
0.75,Very Good,E,SI1,63,55,2753,5.76,5.79,3.64
0.51,Very Good,E,SI1,62.8,56,1438,5.07,5.15,3.21
0.91,Very Good,E,SI1,61.9,61,4031,6.11,6.14,3.79
1.51,Very Good,E,SI1,63.5,57,10891,7.28,7.23,4.61
0.41,Very Good,E,SI1,62.4,55,755,4.74,4.78,2.97
0.53,Very Good,F,SI1,61.7,55,1370,5.22,5.24,3.23
0.73,Very Good,F,SI1,60.4,57,2549,5.86,5.89,3.55
0.7,Very Good,F,SI1,62.4,56,2573,5.63,5.69,3.53
1.22,Very Good,F,SI1,63.5,56,5329,6.79,6.75,4.3
0.36,Very Good,F,SI1,61.9,59,600,4.51,4.54,2.8
0.7,Very Good,F,SI1,62.6,59,2161,5.64,5.7,3.55
0.71,Very Good,F,SI1,62.1,59,2346,5.64,5.73,3.53
0.3,Very Good,F,SI1,63.5,57,641,4.27,4.24,2.7
1.2,Very Good,F,SI1,62.7,58,6973,6.74,6.72,4.22
0.71,Very Good,F,SI1,60.7,57,2088,5.78,5.81,3.52
0.54,Very Good,F,SI1,63.5,58,1944,5.21,5.15,3.29
0.41,Very Good,F,SI1,63.4,57,904,4.74,4.73,3
1.02,Very Good,F,SI1,63.2,59,5398,6.38,6.35,4.02
0.9,Very Good,F,SI1,60.4,60,3950,6.23,6.29,3.78
1.64,Very Good,F,SI1,62.8,59,12555,7.51,7.53,4.72
0.5,Very Good,F,SI1,61.6,60,1214,5.07,5.1,3.13
0.75,Very Good,F,SI1,63.5,56,2372,5.75,5.71,3.64
0.34,Very Good,F,SI1,59.4,62,566,4.54,4.59,2.71
0.6,Very Good,F,SI1,60.3,59,1670,5.42,5.5,3.29
1,Very Good,F,SI1,63.5,56,5122,6.28,6.35,4.01
1.01,Very Good,F,SI1,59.8,59,4890,6.39,6.43,3.83
0.7,Very Good,F,SI1,63.5,59,2264,5.59,5.65,3.57
1.91,Very Good,F,SI1,62.2,54,17509,7.91,7.97,4.94
2.02,Very Good,F,SI1,62.8,59,15987,7.9,7.98,4.99
0.9,Very Good,F,SI1,63.4,57,3699,6.06,6.11,3.86
1.02,Very Good,F,SI1,62.2,56,5222,6.39,6.43,3.99
0.83,Very Good,F,SI1,63,55,3207,5.95,5.96,3.75
0.4,Very Good,F,SI1,62.1,60,756,4.66,4.7,2.91
0.96,Very Good,G,SI1,60.3,57,4265,6.35,6.38,3.84
0.51,Very Good,G,SI1,63.4,56,1122,5.03,5.1,3.21
0.82,Very Good,G,SI1,63.1,52,2716,6.02,5.97,3.78
0.71,Very Good,G,SI1,62.3,57,2104,5.7,5.76,3.57
1.53,Very Good,G,SI1,62.5,56,9971,7.32,7.36,4.59
0.7,Very Good,G,SI1,64.3,56,2517,5.56,5.58,3.58
0.32,Very Good,G,SI1,62.2,57,505,4.36,4.39,2.72
0.91,Very Good,G,SI1,62.8,58,4045,6.15,6.18,3.87
0.76,Very Good,G,SI1,63.7,58,2579,5.75,5.8,3.68
0.54,Very Good,G,SI1,63.2,56,1389,5.19,5.16,3.27
1.21,Very Good,G,SI1,62.2,60,6190,6.71,6.73,4.18
0.31,Very Good,G,SI1,63,58,462,4.3,4.34,2.72
0.32,Very Good,G,SI1,60.9,58,477,4.39,4.44,2.69
1.06,Very Good,G,SI1,61.3,60,5435,6.53,6.55,4.01
1,Very Good,G,SI1,62.6,59,4844,6.29,6.33,3.95
0.42,Very Good,G,SI1,63,55,687,4.77,4.81,3.02
0.5,Very Good,G,SI1,62.8,61,1197,4.99,5.01,3.14
0.92,Very Good,G,SI1,62.5,60,3986,6.19,6.26,3.89
0.8,Very Good,G,SI1,62.9,56,3070,5.88,5.95,3.72
0.52,Very Good,G,SI1,63.1,58,1343,5.11,5.13,3.23
0.73,Very Good,G,SI1,60.8,56,2434,5.82,5.85,3.55
2.03,Very Good,G,SI1,61.3,59,18257,8.08,8.11,4.96
0.96,Very Good,G,SI1,63.2,57,4247,6.27,6.23,3.95
0.31,Very Good,G,SI1,61.9,56,462,4.34,4.38,2.7
1.01,Very Good,H,SI1,61.9,59,5026,6.4,6.43,3.97
1.18,Very Good,H,SI1,60.1,59,5508,6.83,6.88,4.11
1.27,Very Good,H,SI1,62.3,58,7125,6.87,6.94,4.3
1.5,Very Good,H,SI1,61.5,62,8791,7.24,7.3,4.47
0.28,Very Good,H,SI1,61.5,56,360,4.21,4.24,2.6
2.01,Very Good,H,SI1,63.5,57,14725,7.96,7.88,5.03
0.5,Very Good,H,SI1,63.5,56,1089,5.01,5.04,3.19
1.05,Very Good,H,SI1,60.5,58,5406,6.55,6.6,3.98
1.19,Very Good,H,SI1,63.3,55,5698,6.76,6.69,4.26
0.55,Very Good,H,SI1,59.4,58,1270,5.36,5.38,3.19
1.09,Very Good,H,SI1,61.8,58,4784,6.58,6.63,4.08
2,Very Good,H,SI1,63.3,59,16872,8.02,8,5.07
1.07,Very Good,H,SI1,62.3,57,5752,6.53,6.64,4.1
0.35,Very Good,H,SI1,63.3,54,647,4.53,4.51,2.86
1.01,Very Good,H,SI1,62.5,58,4306,6.35,6.38,3.98
0.9,Very Good,H,SI1,61.9,59,3595,6.17,6.21,3.83
1.2,Very Good,H,SI1,61.6,61,6350,6.81,6.77,4.18
1.59,Very Good,H,SI1,62.2,58,10356,7.45,7.48,4.64
0.76,Very Good,H,SI1,63,58,2593,5.78,5.8,3.65
1.21,Very Good,H,SI1,60.4,58,6892,6.91,6.96,4.19
1.51,Very Good,H,SI1,63.3,57,10053,7.23,7.34,4.61
0.35,Very Good,H,SI1,63.1,58,630,4.51,4.46,2.83
0.9,Very Good,H,SI1,63,55,3388,6.12,6.16,3.87
0.7,Very Good,H,SI1,60.4,61,2296,5.68,5.77,3.46
1.34,Very Good,H,SI1,62.4,58,7636,6.98,7.02,4.37
0.54,Very Good,H,SI1,61.6,56,1235,5.21,5.24,3.22
1.1,Very Good,H,SI1,63,58,4276,6.53,6.59,4.13
1.01,Very Good,I,SI1,61.2,59,4243,6.34,6.44,3.92
0.9,Very Good,I,SI1,60.6,56,3730,6.23,6.28,3.79
1,Very Good,I,SI1,63.3,56,4538,6.27,6.36,4
0.9,Very Good,I,SI1,62.6,58,3220,6.08,6.15,3.83
0.5,Very Good,I,SI1,63.2,57,1087,5.07,5.09,3.21
0.59,Very Good,I,SI1,62.8,59,1109,5.34,5.36,3.36
1.14,Very Good,I,SI1,62.6,55,4840,6.66,6.72,4.19
1.07,Very Good,I,SI1,58.4,60,4001,6.68,6.78,3.93
2.31,Very Good,I,SI1,62.5,55,16801,8.43,8.5,5.29
1.7,Very Good,I,SI1,61.8,58,9845,7.55,7.66,4.7
1.53,Very Good,I,SI1,63.3,58,7971,7.26,7.31,4.61
1.05,Very Good,I,SI1,63.5,58,4292,6.46,6.43,4.09
1.2,Very Good,I,SI1,61.2,62,5226,6.75,6.84,4.16
1.1,Very Good,I,SI1,60.4,61,4235,6.69,6.73,4.05
1.01,Very Good,I,SI1,63.5,59,4412,6.36,6.31,4.02
1.51,Very Good,I,SI1,63,59,8758,7.26,7.31,4.59
2.01,Very Good,I,SI1,63.5,55,12271,8.07,8.01,5.11
0.41,Very Good,I,SI1,63.3,60,680,4.71,4.64,2.96
1.35,Very Good,J,SI1,61.1,61,5613,7.1,7.13,4.35
0.7,Very Good,J,SI1,58.4,62,1836,5.85,5.87,3.42
1.9,Very Good,J,SI1,59.2,58,9540,8.1,8.21,4.83
1.4,Very Good,J,SI1,63.5,58,6145,7.05,7.09,4.49
1.19,Very Good,J,SI1,60,57,5390,6.93,6.89,4.15
2,Very Good,J,SI1,62.2,59,12196,7.92,7.97,4.94
0.95,Very Good,J,SI1,63.4,55,3154,6.25,6.21,3.95
0.72,Very Good,J,SI1,57.6,63,2123,5.89,5.95,3.41
1.28,Very Good,J,SI1,63.4,59,4967,6.89,6.84,4.35
0.91,Premium,D,SI1,62.8,59,4476,6.21,6.17,3.89
0.79,Premium,D,SI1,61.4,59,3058,5.96,5.89,3.64
0.73,Premium,D,SI1,61.7,55,2821,5.84,5.82,3.6
1.14,Premium,D,SI1,60.5,59,5809,6.79,6.73,4.09
0.9,Premium,D,SI1,61.5,60,4427,6.19,6.17,3.8
0.57,Premium,D,SI1,62.6,56,2001,5.4,5.34,3.36
0.71,Premium,D,SI1,60.5,59,2743,5.81,5.79,3.51
1.01,Premium,D,SI1,61.6,58,5939,6.47,6.42,3.97
1,Premium,D,SI1,62.5,59,5775,6.32,6.38,3.97
1.52,Premium,D,SI1,58.4,60,12342,7.57,7.52,4.41
1,Premium,D,SI1,61.5,60,5488,6.38,6.34,3.91
0.32,Premium,D,SI1,60.4,58,756,4.47,4.44,2.69
1,Premium,D,SI1,62,58,4704,6.41,6.29,3.94
1.57,Premium,D,SI1,62.2,59,11976,7.37,7.45,4.61
0.72,Premium,D,SI1,62.7,59,2782,5.73,5.69,3.58
1.02,Premium,D,SI1,62.3,59,5890,6.38,6.42,3.99
0.73,Premium,D,SI1,60.8,55,2865,5.87,5.81,3.55
0.37,Premium,D,SI1,61,62,874,4.64,4.61,2.82
1.1,Premium,D,SI1,58.8,61,5606,6.73,6.67,3.94
0.4,Premium,D,SI1,60.9,60,689,4.74,4.78,2.9
0.53,Premium,D,SI1,61.6,59,1753,5.2,5.16,3.19
1.58,Premium,D,SI1,59,59,13329,7.68,7.63,4.52
0.6,Premium,D,SI1,61.6,58,1896,5.42,5.45,3.35
0.9,Premium,D,SI1,61.8,59,4181,6.13,6.11,3.78
0.33,Premium,D,SI1,60.4,60,780,4.46,4.41,2.68
0.7,Premium,D,SI1,58.8,59,2357,5.86,5.84,3.44
0.5,Premium,D,SI1,61.4,59,1363,5.12,5.08,3.13
0.53,Premium,D,SI1,61,58,1631,5.18,5.22,3.17
1.09,Premium,E,SI1,62.5,57,5640,6.61,6.55,4.11
0.36,Premium,E,SI1,60.9,60,810,4.61,4.56,2.79
0.46,Premium,E,SI1,61.8,57,1035,4.98,4.93,3.06
0.5,Premium,E,SI1,61.5,62,1415,5.09,5.06,3.12
1.5,Premium,E,SI1,60,58,11795,7.5,7.47,4.49
0.3,Premium,E,SI1,62.5,60,675,4.27,4.24,2.66
0.67,Premium,E,SI1,59.2,61,1910,5.74,5.72,3.39
0.91,Premium,E,SI1,62.1,58,4332,6.15,6.18,3.83
1.51,Premium,E,SI1,59.6,61,12236,7.53,7.43,4.46
0.9,Premium,E,SI1,62.7,60,4443,6.13,6.03,3.81
0.72,Premium,E,SI1,63,56,2666,5.76,5.73,3.62
0.3,Premium,E,SI1,61.9,58,675,4.33,4.27,2.66
0.32,Premium,E,SI1,61.6,56,720,4.41,4.39,2.71
0.4,Premium,E,SI1,62.6,59,737,4.68,4.71,2.94
0.9,Premium,E,SI1,59,59,3508,6.34,6.3,3.73
1.01,Premium,E,SI1,62.9,59,4853,6.38,6.3,3.99
0.55,Premium,E,SI1,60.8,58,1698,5.32,5.29,3.22
1,Premium,E,SI1,60.3,62,5544,6.33,6.25,3.79
